OID_,OBJECTID,GEO_ID,TYPE_DESC,SCODE_NAME,LCODE_NAME,NAME
3051,4304991,429.000000000000000,CGSP,429,429,GORD AND IRENE RISK PARK
3052,4304992,1520.000000000000000,CGSP,1520,1520,ST. PHILLIPS ROAD PARKETTE
3053,4304993,84.000000000000000,CGSP,84,84,BEN NOBLEMAN PARK
3054,4305057,435.000000000000000,CGSP,435,435,GRAHAM PARK
3055,4305058,233.000000000000000,CGSP,233,233,COSBURN PARK
3056,4305059,735.000000000000000,CGSP,735,735,MOOREVALE PARK
3057,4304940,947.000000000000000,CGSP,947,947,SHERWOOD PARK
3058,4305638,300.000000000000000,CGSP,300,300,DUNCAN MILL GREENBELT
3059,4305639,462.000000000000000,CGSP,462,462,HARRISON PARK
3060,4305640,903.000000000000000,CGSP,903,903,ROWNTREE MILLS PARK
3061,4305041,1188.000000000000000,CGSP,1188,1188,BELMONT PARKETTE
3062,4305042,1256.000000000000000,CGSP,1256,1256,DACRE - VALLEYMEDE TRAFFIC ISLAND
3063,4305043,32842.000000000000000,CGSP,32842,32842,ALEX WILSON COMMUNITY GARDEN - Open Green Space
3064,4305044,696.000000000000000,CGSP,696,696,MCCORMICK PARK
3065,4305045,1261.000000000000000,CGSP,1261,1261,DAVID PECAUT SQUARE
3066,4305060,868.000000000000000,CGSP,868,868,RENNIE PARK
3067,4304994,382.000000000000000,CGSP,382,382,FOUR OAKS GATE PARK
3068,4304920,31762.000000000000000,CGSP,31762,31762,HODGSON PUBLIC SCHOOL - Building Grounds
3069,4304941,1156.000000000000000,CGSP,1156,1156,YORK MILLS VALLEY PARK
3070,4305594,1076.000000000000000,CGSP,1076,1076,VIEWMOUNT PARK
3071,4305595,61.000000000000000,CGSP,61,61,BANBURY PARK
3072,4304960,618.000000000000000,CGSP,618,618,LEDBURY PARK
3073,4305046,152.000000000000000,CGSP,152,152,CAPRI PARK
3074,4304995,379.000000000000000,CGSP,379,379,FOREST HILL ROAD PARK
3075,4304996,1433.000000000000000,CGSP,1433,1433,NEWGATE PARKETTE
3076,4304997,1437.000000000000000,CGSP,1437,1437,NORTHEND PARKETTE
